tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
116+04119,I-225,NORTHBOUND,CO-83/PARKER RD/EXIT 4,CO,ARAPAHOE,80111,39.64147,-104.88064,39.65655,-104.84673,2.103508,3.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116N04117,I-225,SOUTHBOUND,I-25/EXIT 1,CO,DENVER,80237,39.63541,-104.90133,39.63541,-104.90282,0.079268,12.5,America/Denver,P1.1,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116-04119,I-225,SOUTHBOUND,CO-83/PARKER RD/EXIT 4,CO,ARAPAHOE,80014,39.67114,-104.82915,39.66075,-104.83926,0.935546,9.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116+04120,I-225,NORTHBOUND,ILIFF AVE/EXIT 5,CO,ARAPAHOE,80014,39.66053,-104.83889,39.6704,-104.82895,0.891728,5.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116N04118,I-225,SOUTHBOUND,YOSEMITE ST/EXIT 2,CO,DENVER,80237,39.64146,-104.88137,39.6354,-104.89743,0.968686,12.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116-04117,I-225,SOUTHBOUND,I-25/EXIT 1,CO,DENVER,80237,39.6354,-104.89743,39.63541,-104.90133,0.207484,13.0,America/Denver,P1.1,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116-04118,I-225,SOUTHBOUND,YOSEMITE ST/EXIT 2,CO,ARAPAHOE,80111,39.6556,-104.85174,39.64146,-104.88137,1.868278,11.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116N04119,I-225,SOUTHBOUND,CO-83/PARKER RD/EXIT 4,CO,ARAPAHOE,80014,39.66075,-104.83926,39.6556,-104.85174,0.75992,10.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116P04119,I-225,NORTHBOUND,CO-83/PARKER RD/EXIT 4,CO,ARAPAHOE,80014,39.65655,-104.84673,39.66053,-104.83889,0.499542,4.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116P04118,I-225,NORTHBOUND,YOSEMITE ST/EXIT 2,CO,DENVER,80237,39.63547,-104.89372,39.64147,-104.88064,0.811811,2.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116P04117,I-225,NORTHBOUND,I-25/EXIT 1,CO,DENVER,80237,39.63523,-104.8952,39.63528,-104.8948,0.021559,1.5,America/Denver,P1.1,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
116+04118,I-225,NORTHBOUND,YOSEMITE ST/EXIT 2,CO,DENVER,80237,39.63528,-104.8948,39.63547,-104.89372,0.058969,1.0,America/Denver,P1.3,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
